Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
2/1/2020,100XX S RHODES AVE,1.6,2.3,3.1
7/23/2019,100XX S SAINT LAWRENCE AVE,4.1,8.6,3.2
11/25/2019,100XX S SAINT LAWRENCE AVE,3.2,11,1.3
12/16/2019,100XX S SAINT LAWRENCE AVE,4.9,14,4.4
3/8/2020,100XX S SAINT LAWRENCE AVE,1.1,< 1,< 1
9/17/2020,100XX S SANGAMON ST,1.4,2.8,2.7
7/27/2021,100XX S SANGAMON ST ,2.2,2.8,1.3
3/26/2017,100XX S SEELEY AVE,7.4,3.1,1.9
10/28/2019,100XX S SEELEY AVE,4.9,4.6,5.7
10/31/2019,100XX S STATE ST,1.1,< 1,< 1
4/8/2019,100XX S WALLACE ST,1.3,2.6,< 1
6/23/2016,100XX S WASHTENAW AVE,4,4.7,11
6/23/2016,100XX S WASHTENAW AVE,4,4.7,11
9/16/2016,100XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results,,
6/22/2021,100XX S WENTWORTH AVE,1.5,1.1,< 1
11/21/2018,100XX S WINCHESTER AVE,6,6.4,3
1/31/2020,100XX S WINCHESTER AVE,7.3,7.6,2.2
2/4/2020,100XX S WINCHESTER AVE,2.6,5.3,1.3
5/6/2019,100XX S WOOD ST,4.6,9,3.2
3/24/2021,100XX S WOOD ST,2.2,1.5,1.4
7/11/2016,101XX S ARTESIAN AVE,1.5,4.1,1.4
12/13/2018,101XX S ARTESIAN AVE,3.7,7.8,2.2
3/19/2019,101XX S ARTESIAN AVE,2,5.6,< 1
5/8/2019,101XX S ARTESIAN AVE,2.7,9.6,1.4
5/19/2019,101XX S ARTESIAN AVE,3,4.4,1.8
9/2/2019,101XX S ARTESIAN AVE,1.9,4.6,1.7
8/30/2020,101XX S AVENUE L,1.7,1.6,1.2
11/13/2018,101XX S BELL AVE,< 1,< 1,< 1
3/30/2019,101XX S BELL AVE,2.7,1.7,1.2
10/9/2019,101XX S BELL AVE,1.1,1.5,1.1
4/18/2021,101XX S BELL AVE,3.3,13,2.6
,101XX S BELL AVE,Customer declined further testing,,
7/11/2016,101XX S BEVERLY AVE,3.8,12,5.7
11/27/2018,101XX S BEVERLY AVE,< 1,< 1,< 1
1/21/2020,101XX S CALHOUN AVE,1.9,4.6,< 1
3/24/2019,101XX S CALIFORNIA AVE,1.8,2.6,< 1
12/10/2019,101XX S CALIFORNIA AVE,1.5,1.2,< 1
9/15/2019,101XX S CARPENTER ST,1.7,4.2,9.2
