Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
2/13/2019,100XX S FAIRFIELD AVE,3.9,7.7,< 1,10000 S FAIRFIELD AVE,"[41.711624150000006, -87.6908008538218]"
3/11/2019,100XX S FAIRFIELD AVE,1.9,5.5,< 1,10000 S FAIRFIELD AVE,"[41.711624150000006, -87.6908008538218]"
5/10/2019,100XX S FOREST AVE,5.2,12,2.1,10000 S FOREST AVE,"[41.71261055, -87.6165783510436]"
8/7/2019,100XX S GREEN ST,1.1,1.4,< 1,10000 S GREEN ST,"[41.7121997, -87.64442809893556]"
9/29/2016,100XX S HAMILTON AVE,2.9,3,2.7,10000 S HAMILTON AVE,"[41.711806, -87.675843]"
2/16/2019,100XX S HAMILTON AVE,1.3,1.6,1.2,10000 S HAMILTON AVE,"[41.711806, -87.675843]"
1/7/2022,100XX S HOXIE AVE ,3.2,3.5,3.8,10000 S HOXIE AVE ,"[41.713360550000004, -87.5612813711198]"
10/2/2016,100XX S HOYNE AVE,1.3,2.3,< 1,10000 S HOYNE AVE,"[41.71175315, -87.67488251537998]"
10/25/2018,100XX S HOYNE AVE,1.4,1.6,1.4,10000 S HOYNE AVE,"[41.71175315, -87.67488251537998]"
2/25/2019,100XX S HOYNE AVE,1.6,5.1,1.1,10000 S HOYNE AVE,"[41.71175315, -87.67488251537998]"
8/7/2019,100XX S HOYNE AVE,2.5,2.7,2.2,10000 S HOYNE AVE,"[41.71175315, -87.67488251537998]"
4/11/2021,100XX S HOYNE AVE,1.1,< 1,< 1,10000 S HOYNE AVE,"[41.71175315, -87.67488251537998]"
10/22/2019,100XX S LA SALLE ST,< 1,< 1,< 1,10000 S LA SALLE ST,"[41.712454750000006, -87.62755069092779]"
6/14/2021,100XX S LAFAYETTE AVE,6.3,1.5,1.1,10000 S LAFAYETTE AVE,"[41.712493949999995, -87.62511255645695]"
10/19/2021,100XX S LaSalle St,7.4,12,11,10000 S LaSalle St,"[41.879333, -87.6322608]"
12/14/2021,100XX S LaSalle St,See Follow-Up Sequential Sampling Table for Results,,,10000 S LaSalle St,"[41.879333, -87.6322608]"
3/22/2019,100XX S LEAVITT ST,1.2,4.2,1,10000 S LEAVITT ST,"[41.71173875, -87.67721849614743]"
11/11/2018,100XX S LONGWOOD DR,6.2,14,8.8,10000 S LONGWOOD DR,"[41.711926, -87.66902]"
